Rihanna,27
Glee Cast,26
Katy Perry,24
Chris Brown,23
Nicki Minaj,22
Lil Wayne,22
Bruno Mars,22
Adele,21
Pitbull,19
Lady Gaga,19
Taylor Swift,17
Drake,16
Britney Spears,16
Lady Antebellum,15
Blake Shelton,15
Wiz Khalifa,14
The Band Perry,14
The Black Eyed Peas,13
Zac Brown Band,13
P!nk,13
Beyonce,12
Chris Young,12
David Guetta,12
Kenny Chesney,12
Lupe Fiasco,11
The Script,11
LMFAO,11
Big Sean,11
Trey Songz,10
OneRepublic,10
Miguel,10
Selena Gomez & The Scene,10
Luke Bryan,10
Jay Z Kanye West,10
Keith Urban,10
Miranda Lambert,10
Jennifer Lopez,10
Eli Young Band,9
Taio Cruz,9
Rascal Flatts,9
Jerrod Niemann,9
Thompson Square,9
Hot Chelle Rae,9
New Boyz,9
Justin Bieber,9
Maroon 5,9
Brad Paisley,9
Jason Aldean,9
Toby Keith,9
Ke$ha,8
Eric Church,8
Jason Derulo,8
T-Pain,8
Christina Perri,8
Billy Currington,8
Usher,8
Coldplay,8
Cee Lo Green,8
Dr. Dre,8
Foster The People,7
Darius Rucker,7
Avril Lavigne,7
Colbie Caillat,7
DJ Khaled,7
Enrique Iglesias,7
Ace Hood,7
Jessie J,7
Jason Aldean With Kelly Clarkson,7
Dev,7
Kanye West,7
Jeremih,7
Mumford & Sons,7
Brantley Gilbert,6
Dierks Bentley,6
Waka Flocka Flame,6
Flo Rida,6
Kelly Rowland,6
Far*East Movement,6
Tinie Tempah,6
Train,6
Diddy - Dirty Money,6
Gym Class Heroes,6
Foo Fighters,6
Ronnie Dunn,6
