Usher,34
Ke$ha,26
Drake,26
Lady Antebellum,22
Lady Gaga,22
The Black Eyed Peas,21
Taylor Swift,21
Trey Songz,20
Jason Derulo,20
Rihanna,19
B.o.B,18
Train,16
Justin Bieber,16
Eminem,15
Zac Brown Band,14
Timbaland,14
Katy Perry,14
Glee Cast,13
Taio Cruz,12
Carrie Underwood,12
Brad Paisley,12
Jay Sean,11
OneRepublic,11
The Script,11
Young Money,11
Ludacris,11
Jason Aldean,11
Adam Lambert,11
Easton Corbin,10
Alicia Keys,10
Lil Wayne,10
Keith Urban,10
Blake Shelton,10
Miranda Lambert,10
Chris Brown,10
Daughtry,9
Shakira,9
Iyaz,9
John Mayer,9
T.I.,9
Billy Currington,9
Miley Cyrus,9
Darius Rucker,8
Mike Posner,8
Kenny Chesney,8
Rascal Flatts,8
3OH!3,8
Nickelback,8
Enrique Iglesias,8
Monica,8
Josh Turner,8
Selena Gomez & The Scene,8
Michael Buble,8
Rick Ross,7
David Guetta,7
New Boyz,7
Reba,7
Kanye West,7
Bruno Mars,7
Nicki Minaj,6
Flo Rida,6
Waka Flocka Flame,6
Chris Young,6
Eric Church,6
Colbie Caillat,6
Travie McCoy,6
Pitbull,6
Neon Trees,6
George Strait,6
Kings Of Leon,6
Snoop Dogg,6
La Roux,6
Luke Bryan,6
Gucci Mane,6
P!nk,6
DJ Khaled,6
